"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54138","Wybranie telefonu z listy ofert","","2026-09-10","passed","2026-09-10","","Dodanie elementu do koszyka","Wybranie telefonu z listy ofert",""
"","42209","Wybranie telefonu z listy ofert","","2026-09-10","passed","2026-09-10","","Dodanie elementu do koszyka","Wybranie telefonu z listy ofert",""
